review,sentiment,cleaned_review,review_len
I absolutely loved this movie! The acting was fantastic and the plot was gripping.,positive,"['absolutely', 'love', 'movie', 'act', 'fantastic', 'plot', 'grip']",7
Terrible movie. I wasted two hours of my life.,negative,"['terrible', 'movie', 'waste', 'two', 'hour', 'life']",6
A beautiful film with a heartwarming story and great performances.,positive,"['beautiful', 'film', 'heartwarming', 'story', 'great', 'performance']",6
I didn't like the movie. It was boring and too slow.,negative,"['do', 'not', 'like', 'movie', 'boring', 'slow']",6
One of the best movies I've seen this year. Highly recommended!,positive,"['one', 'good', 'movie', 'I', 'have', 'see', 'year', 'highly', 'recommend']",9
Not my type of movie. The story was predictable and dull.,negative,"['type', 'movie', 'story', 'predictable', 'dull']",5
Amazing cinematography and a touching storyline. A must-watch!,positive,"['amazing', 'cinematography', 'touch', 'storyline', 'mustwatch']",5
The film lacked depth and the characters were uninteresting.,negative,"['film', 'lack', 'depth', 'character', 'unintereste']",5
Brilliant direction and an outstanding cast made this a joy to watch.,positive,"['brilliant', 'direction', 'outstanding', 'cast', 'make', 'joy', 'watch']",7
This movie was a disappointment. Poor script and bad acting.,negative,"['movie', 'disappointment', 'poor', 'script', 'bad', 'acting']",6
